commodity_name,state,district,market,min_price,max_price,modal_price,date
Cauliflower,Madhya Pradesh,Ujjain,Ujjain(F&V),10.0,24.0,17.2,2019-11-20
Onion,Madhya Pradesh,Guna,Guna(F&V),27.0,44.0,35.0,2019-12-07
Soyabean,Madhya Pradesh,Shajapur,Kalapipal,28.0,41.2,34.5,2019-11-18
Spinach,Madhya Pradesh,Harda,Timarni,7.0,10.0,8.5,2019-11-18
Spinach,Madhya Pradesh,Ujjain,Ujjain(F&V),9.5,20.5,15.0,2019-11-18
Sponge+gourd,Madhya Pradesh,Harda,Timarni,30.0,40.0,35.0,2019-11-18
Onion,Madhya Pradesh,Dhar,Dhar(F&V),12.0,40.0,30.0,2019-11-19
Methi(Leaves),Madhya Pradesh,Harda,Timarni,16.0,21.0,18.5,2019-11-21
Isabgul+(Psyllium),Madhya Pradesh,Neemuch,Neemuch,73.0,91.51,85.0,2019-11-29
Millets,Madhya Pradesh,Dindori,Dindori,20.0,24.0,20.0,2019-11-21
Orange,Madhya Pradesh,Ujjain,Ujjain(F&V),15.0,15.0,15.0,2019-11-19
Coriander(Leaves),Madhya Pradesh,Dhar,Dhamnod,22.0,30.0,26.0,2019-11-20
Corriander+seed,Madhya Pradesh,Rajgarh,Khilchipur,51.0,74.0,60.0,2019-11-20
Cotton,Madhya Pradesh,Badwani,Badwani,41.45,51.0,46.26,2019-11-20
Cotton,Madhya Pradesh,Dhar,Dhamnod,35.0,55.5,48.55,2019-11-20
Paddy(Dhan)(Common),Madhya Pradesh,Hoshangabad,Itarsi,16.5,29.0,24.69,2019-11-19
Paddy(Dhan)(Common),Madhya Pradesh,Jabalpur,Jabalpur,13.45,15.85,14.5,2019-11-19
Sponge+gourd,Madhya Pradesh,Dhar,Kukshi,8.0,12.0,9.0,2019-12-10
Soyabean,Madhya Pradesh,Raisen,Begamganj,32.0,38.75,36.0,2019-11-29
Soyabean,Madhya Pradesh,Dindori,Gorakhpur,32.0,35.1,33.55,2019-11-29
Soyabean,Madhya Pradesh,Rajgarh,Narsinghgarh,36.0,39.5,38.0,2019-11-29
Spinach,Madhya Pradesh,Jhabua,Petlawad,8.0,8.0,8.0,2019-11-29
Sponge+gourd,Madhya Pradesh,Jhabua,Petlawad,8.0,20.0,11.0,2019-11-29
Coriander(Leaves),Madhya Pradesh,Dhar,Rajgarh,5.0,8.0,6.5,2019-12-10
Papaya,Madhya Pradesh,Dhar,Dhar(F&V),20.0,60.0,50.0,2019-11-19
Soyabean,Madhya Pradesh,Ujjain,Badnagar,24.72,40.7,37.76,2019-11-19
Soyabean,Madhya Pradesh,Hoshangabad,Itarsi,28.0,41.54,38.35,2019-11-19
Wheat,Madhya Pradesh,Chhatarpur,Chhatarpur,19.8,20.1,19.9,2019-11-15
Wheat,Madhya Pradesh,Shajapur,Kalapipal,18.0,19.8,19.0,2019-11-15
Wheat,Madhya Pradesh,Khandwa,Khandwa,20.7,24.29,22.55,2019-11-15
Wheat,Madhya Pradesh,Khargone,Khargone,21.6,23.66,21.7,2019-11-15
Soyabean,Madhya Pradesh,Neemuch,Neemuch,26.0,39.25,36.25,2019-11-19
Wheat,Madhya Pradesh,Shajapur,Shajapur,20.87,22.89,22.4,2019-11-15
Soyabean,Madhya Pradesh,Ujjain,Ujjain,18.2,42.0,35.7,2019-11-19
Soyabean,Madhya Pradesh,Jhabua,Jhabua,37.0,39.0,38.0,2019-11-27
Spinach,Madhya Pradesh,Ujjain,Ujjain(F&V),9.5,20.5,16.0,2019-11-19
Raddish,Madhya Pradesh,Sheopur,Syopurkalan(F&V),10.0,11.0,10.5,2019-11-20
Soyabean,Madhya Pradesh,Ratlam,Ratlam,17.1,42.1,36.5,2019-12-26
Soyabean,Madhya Pradesh,Chhatarpur,Chhatarpur,32.5,38.5,35.5,2019-11-18
Peas(Dry),Madhya Pradesh,Dhar,Dhar,13.0,21.54,17.5,2019-11-19
Peas(Dry),Madhya Pradesh,Jabalpur,Jabalpur,40.0,56.05,41.0,2019-11-19
Corriander+seed,Madhya Pradesh,Shajapur,Agar,50.0,65.7,59.0,2019-11-25
Corriander+seed,Madhya Pradesh,Mandsaur,Mandsaur,40.0,65.0,53.0,2019-11-25
Corriander+seed,Madhya Pradesh,Neemuch,Neemuch,40.0,67.0,52.0,2019-11-25
Corriander+seed,Madhya Pradesh,Sheopur,Sheopurkalan,48.0,62.0,60.7,2019-11-25
Cabbage,Madhya Pradesh,Mandsaur,Mandsaur(F&V),10.0,18.0,15.0,2019-12-09
Brinjal,Madhya Pradesh,Burhanpur,Burhanpur(F&V),12.0,30.0,20.0,2019-11-21
Ginger(Green),Madhya Pradesh,Ujjain,Ujjain(F&V),25.5,75.0,46.2,2019-11-20
Brinjal,Madhya Pradesh,Dewas,Dewas(F&V),6.0,15.0,10.0,2019-11-30
Potato,Madhya Pradesh,Rajgarh,Biaora,15.0,18.0,16.5,2019-12-18
Maize,Madhya Pradesh,Khargone,Khargone,16.7,22.65,18.5,2019-12-02
Maize,Madhya Pradesh,Dewas,Sonkatch,14.0,16.8,16.0,2019-12-02
Green+Chilli,Madhya Pradesh,Jabalpur,Jabalpur(F&V),7.0,15.0,10.0,2019-11-20
Green+Chilli,Madhya Pradesh,Ujjain,Ujjain(F&V),15.5,36.1,28.2,2019-11-20
Cabbage,Madhya Pradesh,Dewas,Dewas(F&V),7.0,14.0,11.0,2019-11-30
Wheat,Madhya Pradesh,Dhar,Badnawar,20.1,23.8,22.85,2019-11-29
Wheat,Madhya Pradesh,Khandwa,Khandwa,18.0,24.51,21.5,2019-11-29
Wheat,Madhya Pradesh,Sheopur,Sheopurkalan,18.62,20.28,19.84,2019-11-29
Bitter+gourd,Madhya Pradesh,Ujjain,Ujjain(F&V),17.0,36.0,24.66,2019-12-05
Wheat,Madhya Pradesh,Ujjain,Ujjain,12.8,25.31,21.91,2019-11-29
Green+Peas,Madhya Pradesh,Dhar,Badnawar,15.05,25.05,20.9,2019-11-20
Green+Peas,Madhya Pradesh,Jabalpur,Jabalpur(F&V),8.0,16.0,12.0,2019-11-20
Onion,Madhya Pradesh,Dewas,Dewas(F&V),20.0,36.0,30.0,2019-11-25
Guar,Madhya Pradesh,Dhar,Dhamnod,20.0,22.0,21.0,2019-11-20
Soyabean,Madhya Pradesh,Vidisha,Gulabganj,33.6,35.0,34.0,2019-11-28
Peas(Dry),Madhya Pradesh,Ujjain,Badnagar,18.0,23.0,21.7,2019-12-05
Paddy(Dhan)(Common),Madhya Pradesh,Dindori,Dindori,12.5,12.5,12.5,2019-11-25
Coriander(Leaves),Madhya Pradesh,Indore,Sanwer,8.0,8.5,8.25,2019-12-16
Coriander(Leaves),Madhya Pradesh,Ujjain,Ujjain(F&V),15.0,35.0,22.45,2019-12-16
Cauliflower,Madhya Pradesh,Dewas,Haatpipliya,17.0,19.0,18.0,2019-11-30
Cauliflower,Madhya Pradesh,Harda,Timarni,25.0,25.0,25.0,2019-11-30
Cauliflower,Madhya Pradesh,Ujjain,Ujjain(F&V),9.0,22.0,14.2,2019-11-30
Brinjal,Madhya Pradesh,Dewas,Dewas(F&V),7.0,16.0,10.0,2019-11-25
Maize,Madhya Pradesh,Neemuch,Neemuch,18.2,19.0,18.5,2019-11-23
Spinach,Madhya Pradesh,Ujjain,Ujjain(F&V),7.0,14.0,8.26,2019-11-28
Mustard,Madhya Pradesh,Gwalior,Dabra,38.6,40.01,39.6,2019-11-15
Cotton,Madhya Pradesh,Jhabua,Jhabua,48.0,48.1,48.05,2019-12-16
Soyabean,Madhya Pradesh,Dhar,Dhar,27.0,41.4,35.8,2019-11-19
Soyabean,Madhya Pradesh,Jhabua,Jhabua,35.0,39.35,37.18,2019-11-19
Cotton,Madhya Pradesh,Jhabua,Thandla,66.0,70.0,68.0,2019-12-16
Soyabean,Madhya Pradesh,Rajgarh,Khilchipur,27.0,40.2,37.0,2019-11-19
Soyabean,Madhya Pradesh,Shajapur,Nalkehda,36.5,40.65,38.9,2019-11-19
Soyabean,Madhya Pradesh,Shajapur,Agar,28.0,42.6,39.0,2019-12-04
Garlic,Madhya Pradesh,Indore,Sanwer,60.0,65.0,62.5,2019-11-25
Soyabean,Madhya Pradesh,Sehore,Ashta,20.0,43.61,39.0,2019-12-04
Soyabean,Madhya Pradesh,Ujjain,Badnagar,25.44,42.51,38.04,2019-12-04
Soyabean,Madhya Pradesh,Khargone,Badwaha,37.61,38.5,38.0,2019-12-04
Soyabean,Madhya Pradesh,Betul,Betul,32.01,40.06,38.75,2019-12-04
Soyabean,Madhya Pradesh,Chhindwara,Chhindwara,33.0,38.11,37.81,2019-12-04
Soyabean,Madhya Pradesh,Dhar,Dhar,26.9,43.0,35.8,2019-12-04
Soyabean,Madhya Pradesh,Khandwa,Khandwa,27.91,42.0,37.5,2019-12-04
